symbol,trades,win_rate,avg_return,total_pnl_usd,avg_bars_held
CVNA,27,44.4,34.19,92321.0,32.0
APP,18,38.9,27.27,49085.0,30.0
AMD,40,47.5,11.81,47257.0,29.0
TSLA,31,64.5,13.99,43370.0,34.0
TPL,37,54.1,11.47,42451.0,35.0
DELL,37,59.5,10.09,37338.0,37.0
SMCI,35,51.4,10.45,36562.0,33.0
SNDK,5,60.0,71.65,35827.0,39.0
NVDA,39,46.2,8.71,33985.0,33.0
FIX,47,46.8,5.93,27890.0,30.0
VRT,31,51.6,8.67,26872.0,33.0
BLDR,32,65.6,8.31,26581.0,38.0
PLTR,22,45.5,11.95,26280.0,33.0
FTNT,50,44.0,4.99,24962.0,31.0
AVGO,44,59.1,5.53,24316.0,35.0
DDOG,27,37.0,8.96,24194.0,29.0
CRWD,19,63.2,11.73,22292.0,38.0
MS,44,54.5,4.99,21942.0,31.0
LLY,41,48.8,5.18,21242.0,34.0
GNRC,40,42.5,5.26,21033.0,30.0
EME,47,48.9,4.46,20945.0,32.0
NFLX,45,48.9,4.57,20554.0,32.0
ALGN,33,45.5,6.21,20478.0,32.0
STX,48,37.5,4.02,19289.0,26.0
XYZ,41,34.1,4.68,19171.0,28.0
ANET,41,48.8,4.64,19004.0,32.0
TKO,35,48.6,5.41,18944.0,34.0
WDC,43,39.5,4.39,18889.0,26.0
MPC,41,53.7,4.6,18871.0,33.0
NTAP,41,43.9,4.55,18671.0,34.0
FCX,36,47.2,5.13,18468.0,29.0
APH,45,57.8,4.05,18202.0,36.0
KLAC,41,53.7,4.42,18135.0,33.0
INTC,47,38.3,3.86,18129.0,28.0
TTD,33,51.5,5.42,17877.0,31.0
AAPL,39,61.5,4.57,17814.0,37.0
MU,47,48.9,3.68,17320.0,27.0
LDOS,39,53.8,4.38,17068.0,37.0
CIEN,40,37.5,4.26,17040.0,30.0
HOOD,21,33.3,8.05,16909.0,28.0
DECK,38,50.0,4.38,16635.0,34.0
VLO,36,47.2,4.62,16634.0,35.0
NRG,51,43.1,3.24,16528.0,27.0
GLW,45,55.6,3.66,16452.0,30.0
TPR,36,50.0,4.52,16269.0,31.0
AXON,40,35.0,3.96,15833.0,28.0
URI,38,50.0,4.14,15740.0,33.0
LRCX,38,55.3,4.08,15511.0,33.0
OXY,38,34.2,4.07,15466.0,29.0
