symbol,date,close,score,trend,conditions
DRI,2026-06-18,213.45,15.8,bullish/bullish,macd_hist_rising|weekly_w_confirmed|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
NDSN,2026-06-18,295.92,14.2,bullish/bullish,macd_hist_rising|w_confirmed|breakout_up|bull_div_confirmed|rvol_up_day|obv_rising|buying_pressure
APH,2026-06-18,163.96,14.2,bullish/bullish,macd_hist_rising|weekly_w_confirmed|breakout_up|uptrend_structure|obv_rising|buying_pressure
ROK,2026-06-18,473.79,14.2,bullish/bullish,macd_hist_rising|w_confirmed|breakout_up|bull_div_confirmed|rvol_up_day|obv_rising|buying_pressure
CCL,2026-06-18,30.87,14.2,bullish/bullish,macd_hist_rising|weekly_w_confirmed|breakout_up|uptrend_structure|obv_rising|buying_pressure
RL,2026-06-18,413.01,13.5,bullish/bullish,weekly_w_confirmed|breakout_up|uptrend_structure|obv_rising|buying_pressure
WMB,2026-06-18,73.12,11.0,bullish/neutral,macd_cross_up|macd_hist_rising|rsi_cross_50_up|w_confirmed|breakout_up|bull_div_potential|fib_786_pullback|rvol_up_day
MLM,2026-06-18,609.12,10.5,bullish/neutral,macd_hist_rising|price_reclaims_200|w_confirmed|breakout_up|bull_div_confirmed|rvol_up_day|obv_rising|buying_pressure
SW,2026-06-18,44.2,10.0,bullish/neutral,weekly_w_confirmed|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
ES,2026-06-18,69.59,9.8,bullish/bullish,macd_hist_rising|w_potential|weekly_w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
A,2026-06-18,127.06,9.5,neutral/neutral,rsi_cross_50_up|price_reclaims_200|weekly_w_confirmed|uptrend_structure|rvol_up_day
Q,2026-06-18,168.98,9.0,bullish/bullish,macd_cross_up|macd_hist_rising|breakout_up|rvol_up_day|obv_rising|buying_pressure
EMR,2026-06-18,150.66,9.0,bullish/bullish,macd_hist_rising|weekly_w_potential|breakout_up|rvol_up_day|obv_rising|buying_pressure
MAS,2026-06-18,74.38,9.0,bullish/bullish,weekly_w_potential|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
GWW,2026-06-18,1365.41,9.0,bullish/bullish,macd_cross_up|macd_hist_rising|breakout_up|rvol_up_day|obv_rising|buying_pressure
FTV,2026-06-18,61.03,9.0,bullish/bullish,macd_hist_rising|w_potential|weekly_w_potential|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
SNA,2026-06-18,387.25,9.0,bullish/bullish,weekly_w_potential|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
RCL,2026-06-18,312.51,9.0,bullish/bullish,macd_hist_rising|golden_50_200|breakout_up|uptrend_structure|obv_rising|buying_pressure
INTC,2026-06-18,133.99,9.0,bullish/bullish,macd_cross_up|macd_hist_rising|breakout_up|rvol_up_day|obv_rising|buying_pressure
DTE,2026-06-18,147.56,9.0,bullish/bullish,weekly_w_potential|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
ADI,2026-06-18,434.46,8.2,bullish/bullish,macd_cross_up|macd_hist_rising|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
CRH,2026-06-18,111.24,8.0,bullish/neutral,macd_hist_rising|price_reclaims_200|weekly_w_potential|breakout_up|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
GRMN,2026-06-18,234.2,7.5,bullish/neutral,w_potential|weekly_w_potential|uptrend_structure|bull_div_potential|fib_786_pullback|rvol_up_day|obv_rising|buying_pressure
MCHP,2026-06-18,99.77,7.5,bullish/bullish,macd_cross_up|macd_hist_rising|breakout_up|obv_rising|buying_pressure
WAB,2026-06-18,273.83,7.5,bullish/bullish,macd_hist_rising|breakout_up|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
VMC,2026-06-18,302.84,7.5,bullish/neutral,macd_hist_rising|weekly_w_potential|breakout_up|uptrend_structure|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
SO,2026-06-18,93.09,7.0,bullish/neutral,rsi_cross_50_up|w_potential|weekly_w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
NI,2026-06-18,47.26,7.0,bullish/neutral,macd_hist_rising|rsi_cross_50_up|w_potential|breakout_up|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
EBAY,2026-06-18,108.24,6.8,bullish/bullish,macd_hist_rising|w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
MU,2026-06-18,1133.99,6.8,bullish/bullish,macd_cross_up|macd_hist_rising|breakout_up|uptrend_structure
CINF,2026-06-18,170.2,6.8,bullish/bullish,weekly_w_potential|breakout_up|obv_rising|buying_pressure
AME,2026-06-18,237.42,6.8,bullish/bullish,macd_hist_rising|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
QCOM,2026-06-18,226.11,6.8,bullish/bullish,macd_hist_rising|w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
CAT,2026-06-18,985.82,6.8,bullish/bullish,macd_hist_rising|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
LNT,2026-06-18,73.0,6.8,bullish/bullish,w_potential|uptrend_structure|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
STX,2026-06-18,1070.23,6.8,bullish/bullish,macd_hist_rising|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
AMAT,2026-06-18,617.11,6.8,bullish/bullish,macd_hist_rising|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
VRT,2026-06-18,333.05,6.8,bullish/bullish,macd_cross_up|macd_hist_rising|bull_div_potential|obv_rising|buying_pressure
WDC,2026-06-18,746.23,6.8,bullish/bullish,macd_hist_rising|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
LUV,2026-06-18,47.97,6.8,bullish/bullish,macd_hist_rising|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
EA,2026-06-18,202.15,6.8,bullish/bullish,w_potential|weekly_w_potential|uptrend_structure|fib_786_pullback
DAL,2026-06-18,84.18,6.8,bullish/bullish,macd_hist_rising|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
FIX,2026-06-18,1967.41,6.8,bullish/bullish,macd_hist_rising|w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
KLAC,2026-06-18,259.56,6.8,bullish/bullish,macd_hist_rising|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
IRM,2026-06-18,127.83,6.8,bullish/bullish,macd_hist_rising|w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
GE,2026-06-18,357.64,6.8,bullish/bullish,macd_hist_rising|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
GOOG,2026-06-18,367.46,6.8,bullish/bullish,macd_hist_rising|rsi_cross_50_up|w_potential|bull_div_potential|obv_rising|buying_pressure
VST,2026-06-18,163.75,6.5,neutral/neutral,macd_hist_rising|price_reclaims_200|weekly_w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
TTWO,2026-06-18,239.28,6.5,neutral/neutral,macd_hist_rising|breakout_up|bull_div_confirmed|rvol_up_day|obv_rising|buying_pressure
LRCX,2026-06-18,389.04,6.0,bullish/bullish,macd_hist_rising|breakout_up|rvol_up_day|obv_rising|buying_pressure
TRV,2026-06-18,307.81,6.0,bullish/bullish,w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
FAST,2026-06-18,45.89,6.0,bullish/bullish,rsi_cross_50_up|weekly_w_potential|rvol_up_day
USB,2026-06-18,58.14,6.0,bullish/bullish,breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
FFIV,2026-06-18,385.49,6.0,bullish/bullish,w_potential|fib_786_pullback|rvol_up_day|obv_rising|buying_pressure
ETN,2026-06-18,421.77,6.0,bullish/bullish,macd_hist_rising|w_potential|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
DOV,2026-06-18,223.57,6.0,bullish/bullish,macd_hist_rising|breakout_up|rvol_up_day|obv_rising|buying_pressure
EIX,2026-06-18,71.89,6.0,bullish/bullish,rsi_cross_50_up|w_potential|rvol_up_day|obv_rising|buying_pressure
ALGN,2026-06-18,182.08,6.0,neutral/neutral,macd_hist_rising|golden_20_50|breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
WSM,2026-06-18,226.92,6.0,bullish/bullish,breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
TER,2026-06-18,437.92,6.0,bullish/bullish,macd_hist_rising|breakout_up|rvol_up_day|obv_rising|buying_pressure
DHI,2026-06-18,157.81,6.0,bullish/neutral,macd_hist_rising|weekly_w_potential|breakout_up|rvol_up_day|obv_rising|buying_pressure
FITB,2026-06-18,52.74,6.0,bullish/bullish,breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
BKNG,2026-06-18,171.78,6.0,neutral/neutral,w_potential|weekly_w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
CFG,2026-06-18,67.08,6.0,bullish/bullish,breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
PGR,2026-06-18,204.87,6.0,neutral/neutral,w_potential|weekly_w_potential|bull_div_potential|rvol_up_day|obv_rising|buying_pressure
HST,2026-06-18,25.01,6.0,bullish/bullish,breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
CNP,2026-06-18,42.82,6.0,bullish/bullish,weekly_w_potential|bull_div_potential|obv_rising|buying_pressure
IEX,2026-06-18,224.93,6.0,bullish/bullish,macd_hist_rising|breakout_up|rvol_up_day|obv_rising|buying_pressure
MO,2026-06-18,69.12,6.0,bullish/bullish,w_potential|fib_786_pullback|rvol_up_day|obv_rising|buying_pressure
KEYS,2026-06-18,363.67,6.0,bullish/bullish,macd_hist_rising|breakout_up|rvol_up_day|obv_rising|buying_pressure
D,2026-06-18,68.41,6.0,bullish/bullish,macd_hist_rising|breakout_up|rvol_up_day|obv_rising|buying_pressure
MAR,2026-06-18,396.2,6.0,bullish/bullish,breakout_up|uptrend_structure|rvol_up_day|obv_rising|buying_pressure
XEL,2026-06-18,77.41,6.0,bullish/neutral,w_potential|weekly_w_potential|bull_div_potential|fib_786_pullback|obv_rising|buying_pressure
