symbol,entry_date,exit_date,bars_held,entry_price,exit_price,return_pct,pnl_usd,win,exit_reason,divergences_at_entry,entry_trend_weekly,entry_trend_daily
DRI,2016-09-20,2016-09-30,8,46.7986,45.8342,-0.02061,-206.09,0,signal,rsi|macd|obv|mfi|cmf,neutral,bearish
PM,2016-09-27,2016-10-05,6,61.9315,59.8083,-0.03428,-342.83,0,signal,cmf,neutral,bearish
WMT,2016-09-27,2016-09-30,3,20.3677,20.1853,-0.00896,-89.56,0,signal,macd|mfi,neutral,neutral
DRI,2016-10-03,2016-12-28,60,46.1615,56.686,0.22799,2279.92,1,max_hold,rsi|macd,neutral,bearish
ADP,2016-10-04,2016-10-12,6,71.0979,69.6419,-0.02048,-204.79,0,signal,rsi|cmf,neutral,bearish
KHC,2016-10-04,2016-11-04,23,56.8753,52.0943,-0.08406,-840.6,0,signal,rsi|obv|cmf,neutral,bullish
CVX,2016-10-05,2016-10-25,14,67.5789,66.5573,-0.01512,-151.17,0,signal,rsi,neutral,neutral
CVX,2016-10-05,2016-10-25,14,67.5789,66.5573,-0.01512,-151.17,0,signal,rsi,neutral,neutral
MRSH,2016-10-05,2016-10-18,9,56.5991,56.2685,-0.00584,-58.41,0,signal,rsi,neutral,bearish
MDLZ,2016-10-12,2016-10-13,1,33.8414,33.4607,-0.01125,-112.49,0,signal,rsi|obv|mfi,neutral,bearish
MDLZ,2016-10-14,2016-10-17,1,33.7854,33.4448,-0.01008,-100.81,0,signal,rsi|obv|mfi,neutral,bearish
CHRW,2016-10-18,2016-12-19,43,55.3583,58.6159,0.05885,588.45,1,signal,obv|cmf,neutral,neutral
MDLZ,2016-10-18,2016-11-11,18,33.8975,33.3969,-0.01477,-147.66,0,signal,rsi|obv|mfi,neutral,bearish
GPN,2016-10-19,2016-11-01,9,70.2253,68.7231,-0.02139,-213.92,0,signal,mfi,neutral,neutral
UPS,2016-10-19,2017-01-17,60,74.5967,78.673,0.05464,546.45,1,max_hold,cmf,neutral,neutral
DOV,2016-10-20,2016-11-01,8,47.9308,46.1461,-0.03724,-372.36,0,signal,obv,neutral,bearish
DOV,2016-10-20,2016-11-01,8,47.9308,46.1461,-0.03724,-372.36,0,signal,obv,neutral,bearish
ADP,2016-10-27,2017-01-25,60,70.7255,84.0077,0.1878,1878.0,1,max_hold,rsi|macd|obv,neutral,bearish
CVX,2016-10-28,2017-01-10,49,67.0024,77.1053,0.15078,1507.84,1,signal,rsi,neutral,neutral
CVX,2016-10-28,2017-01-10,49,67.0024,77.1053,0.15078,1507.84,1,signal,rsi,neutral,neutral
BRK-B,2016-11-01,2016-12-29,40,144.897,163.6841,0.12966,1296.58,1,signal,rsi|macd|obv|mfi|cmf,neutral,bearish
VEEV,2016-11-04,2017-02-02,60,37.5462,42.0568,0.12013,1201.34,1,max_hold,cmf,neutral,neutral
CDNS,2016-11-17,2017-02-15,60,25.8487,29.5157,0.14186,1418.62,1,max_hold,obv,bullish,bullish
BDX,2016-11-23,2016-11-29,3,109.2658,112.3533,0.02826,282.57,1,signal,rsi|macd|obv|mfi,bullish,bearish
CAG,2016-12-01,2017-03-01,60,25.0783,28.5715,0.13929,1392.92,1,max_hold,obv|cmf,neutral,bullish
