symbol,close,off_high,range_position,base_type,div_count,div_indicators,div_last,universe,tradingview_chart,canslim,canslim_real,new,first_seen,days_on_list
SWKS,72.45,-0.589,0.21,accumulation,6,RSI|MACD|MFI|CMF|WILLR|SQUEEZE,2026-04-27,SP500,https://www.tradingview.com/chart/?symbol=SWKS,2/4,2/6 IM,,2026-07-01,2
RIVN,14.64,-0.918,0.04,accumulation,4,MACD|MFI|WILLR|SQUEEZE,2026-06-15,broader,https://www.tradingview.com/chart/?symbol=RIVN,0/4,3/6 LIM,,2026-07-01,2
S,15.12,-0.807,0.05,accumulation,4,MACD|MFI|CMF|SQUEEZE,2026-05-04,broader,https://www.tradingview.com/chart/?symbol=S,0/4,2/6 IM,,2026-07-01,2
CRL,185.0,-0.598,0.3,accumulation,4,RSI|MACD|OBV|WILLR,2026-06-15,SP500,https://www.tradingview.com/chart/?symbol=CRL,4/4 PASS,4/6 NLIM,,2026-07-01,2
OPEN,4.28,-0.891,0.1,accumulation,3,MACD|MFI|SQUEEZE,2026-05-11,broader,https://www.tradingview.com/chart/?symbol=OPEN,0/4,3/6 LIM,,2026-07-01,2
BIO,280.05,-0.664,0.21,accumulation,3,MACD|CMF|SQUEEZE,2026-06-08,broader,https://www.tradingview.com/chart/?symbol=BIO,0/4,4/6 ANIM,,2026-07-01,2
LAES,3.23,-0.887,0.1,accumulation,2,OBV|WILLR,2026-05-11,broader,https://www.tradingview.com/chart/?symbol=LAES,2/4,1/6 M,,2026-07-01,2
ESTC,58.71,-0.691,0.13,accumulation,2,MACD|OBV,2026-05-04,broader,https://www.tradingview.com/chart/?symbol=ESTC,2/4,3/6 AIM,,2026-07-01,2
DKNG,24.53,-0.67,0.23,consolidating,2,OBV|WILLR,2026-06-08,broader,https://www.tradingview.com/chart/?symbol=DKNG,0/4,3/6 AIM,,2026-07-01,2
ZBRA,235.98,-0.616,0.33,accumulation,2,MACD|SQUEEZE,2026-05-11,SP500,https://www.tradingview.com/chart/?symbol=ZBRA,1/4,2/6 IM,,2026-07-01,2
BMRN,57.33,-0.566,0.1,consolidating,2,RSI|WILLR,2026-06-15,broader,https://www.tradingview.com/chart/?symbol=BMRN,4/4 PASS,3/6 NIM,,2026-07-01,2
HSCS,2.63,-0.996,0.0,accumulation,1,MVI,2026-06-22,broader,https://www.tradingview.com/chart/?symbol=HSCS,3/4,1/6 M,,2026-07-01,2
SMCX,11.11,-0.986,0.01,accumulation,1,MACD,2026-05-04,broader,https://www.tradingview.com/chart/?symbol=SMCX,0/4,n/a,,2026-07-01,2
QUBT,9.7,-0.755,0.24,accumulation,1,MFI,2026-05-11,broader,https://www.tradingview.com/chart/?symbol=QUBT,0/4,3/6 AIM,,2026-07-01,2
CZR,29.6,-0.753,0.21,accumulation,1,WILLR,2026-05-25,broader,https://www.tradingview.com/chart/?symbol=CZR,4/4 PASS,3/6 NIM,,2026-07-01,2
SMCI,30.66,-0.751,0.24,accumulation,1,MFI,2026-05-25,SP500,https://www.tradingview.com/chart/?symbol=SMCI,0/4,3/6 CIM,,2026-07-01,2
OKLO,54.06,-0.721,0.26,accumulation,1,MVI,2026-06-01,broader,https://www.tradingview.com/chart/?symbol=OKLO,0/4,2/6 IM,,2026-07-01,2
NCLH,20.44,-0.668,0.25,consolidating|accumulation,1,OBV,2026-06-15,SP500,https://www.tradingview.com/chart/?symbol=NCLH,3/4,2/6 IM,,2026-07-01,2
WBD,26.2,-0.665,0.27,accumulation,1,MACD,2026-05-25,SP500,https://www.tradingview.com/chart/?symbol=WBD,1/4,5/6 ANLIM,,2026-07-01,2
RIOT,27.42,-0.655,0.34,consolidating|accumulation,1,MFI,2026-05-11,broader,https://www.tradingview.com/chart/?symbol=RIOT,4/4 PASS,3/6 LIM,,2026-07-01,2
KHC,22.82,-0.636,0.17,accumulation,1,RSI,2026-05-04,SP500,https://www.tradingview.com/chart/?symbol=KHC,1/4,3/6 NIM,,2026-07-01,2
TECH,57.94,-0.564,0.32,accumulation,1,MACD,2026-06-08,SP500,https://www.tradingview.com/chart/?symbol=TECH,4/4 PASS,5/6 CNLIM,,2026-07-01,2
