symbol,canslim_score,canslim,close,sma20,sma50,sma200,rsi
A,2,2/4,127.06,129.17,121.14,130.09,51.1
ABNB,4,4/4 PASS,142.41,134.67,136.47,129.16,63.0
ACHR,0,0/4,5.05,5.82,5.96,7.67,37.8
ADI,4,4/4 PASS,434.46,413.02,400.01,308.93,59.0
ADP,1,1/4,218.41,223.96,212.45,239.15,47.0
AEE,3,3/4,108.67,108.21,109.31,104.33,50.5
AEP,1,1/4,127.69,128.3,130.67,121.43,46.2
AFRM,4,4/4 PASS,77.66,69.93,66.91,66.48,63.0
AIXI,1,1/4,2.39,8.43,6.43,2.13,26.7
ALB,1,1/4,160.35,165.68,180.77,145.44,42.7
ALGN,4,4/4 PASS,182.08,171.04,173.86,160.18,58.8
ALL,4,4/4 PASS,221.17,215.14,215.08,205.75,56.6
ALLE,2,2/4,133.57,130.78,134.82,155.79,53.1
AMC,2,2/4,2.0,2.11,1.77,1.89,48.9
AMCR,4,4/4 PASS,41.08,39.03,38.84,40.67,61.1
AMP,3,3/4,467.43,452.98,459.83,471.67,58.3
AMZN,1,1/4,244.39,253.28,257.1,232.8,44.0
AON,0,0/4,317.74,324.77,322.02,337.15,43.3
AOS,1,1/4,58.22,57.82,60.07,66.97,48.3
APA,1,1/4,33.03,36.75,37.68,29.49,34.3
APD,1,1/4,280.21,282.22,291.99,271.77,43.1
APH,4,4/4 PASS,163.96,147.84,142.66,136.26,68.3
APTV,1,1/4,63.68,66.2,61.24,74.37,48.2
ARE,3,3/4,51.03,50.86,47.54,55.2,53.3
ARES,3,3/4,129.34,127.54,121.24,137.92,54.5
ARQQ,4,4/4 PASS,28.64,17.67,15.92,24.31,73.7
AVS,3,3/4,7.79,7.44,7.48,9.04,53.4
AVTR,3,3/4,9.69,9.38,8.59,10.46,60.7
AVY,1,1/4,158.68,157.71,161.29,170.74,49.5
AWK,1,1/4,125.07,124.44,127.06,130.63,48.8
AXP,4,4/4 PASS,338.0,318.36,318.79,336.2,66.1
AZO,0,0/4,3064.48,3105.1,3345.12,3647.13,39.7
BA,3,3/4,222.72,220.61,224.28,218.64,50.7
BAH,0,0/4,62.68,75.18,76.25,84.24,24.0
BALL,3,3/4,57.72,55.37,58.17,55.02,58.0
BAND,2,2/4,52.28,60.62,48.16,23.51,45.8
BAX,4,4/4 PASS,19.89,19.54,18.47,19.66,56.0
BB,3,3/4,8.62,9.18,7.14,4.78,53.6
BBAI,0,0/4,3.52,4.3,4.13,5.2,34.7
BDX,0,0/4,143.98,146.39,148.09,152.12,44.6
BF-B,2,2/4,26.64,25.9,26.7,26.87,54.0
BIIB,4,4/4 PASS,196.58,195.5,190.48,174.7,52.4
BIO,0,0/4,280.05,294.49,283.12,293.51,45.7
BKNG,3,3/4,171.78,166.47,169.13,189.83,56.5
BKR,1,1/4,58.41,63.57,64.21,54.85,34.2
BLDR,3,3/4,80.59,76.08,79.0,103.52,57.2
BLK,3,3/4,1050.09,1031.83,1042.89,1058.32,54.7
BLZE,4,4/4 PASS,11.97,8.41,6.83,6.16,81.7
BMRN,4,4/4 PASS,57.33,55.55,54.34,55.65,58.9
BOLD,4,4/4 PASS,2.6,1.54,1.53,1.28,89.0
BRO,2,2/4,59.1,58.13,60.27,74.41,51.1
BTBT,2,2/4,1.93,1.93,1.81,2.25,50.6
BTCZ,4,4/4 PASS,6.41,5.55,4.65,4.27,65.5
