symbol,close,off_high,range_position,base_type,div_count,div_indicators,div_last,universe,tradingview_chart,canslim,canslim_real,new,first_seen,days_on_list
KMX,50.79,-0.674,0.16,accumulation,8,RSI|MACD|MFI|MVI|CMF|OBV|WILLR|SQUEEZE,2026-05-27,broader,https://www.tradingview.com/chart/?symbol=KMX,4/4 PASS,2/6 IM,,2026-07-01,2
COF,201.53,-0.217,0.75,accumulation,8,RSI|MACD|MFI|MVI|CMF|OBV|WILLR|SQUEEZE,2026-06-17,SP500,https://www.tradingview.com/chart/?symbol=COF,3/4,3/6 CIM,,2026-07-01,2
LULU,111.77,-0.784,0.14,,7,RSI|MACD|MFI|MVI|CMF|WILLR|SQUEEZE,2026-06-11,SP500,https://www.tradingview.com/chart/?symbol=LULU,0/4,2/6 IM,,2026-07-01,2
CCL,30.87,-0.534,0.41,accumulation,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-05-27,SP500,https://www.tradingview.com/chart/?symbol=CCL,4/4 PASS,3/6 AIM,,2026-07-01,2
DPZ,312.47,-0.412,0.48,,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-06-09,SP500,https://www.tradingview.com/chart/?symbol=DPZ,1/4,2/6 IM,,2026-07-01,2
DASH,173.46,-0.392,0.54,accumulation,7,RSI|MACD|MFI|MVI|OBV|WILLR|SQUEEZE,2026-06-18,SP500,https://www.tradingview.com/chart/?symbol=DASH,3/4,3/6 AIM,,2026-07-01,2
SYF,75.26,-0.145,0.84,consolidating|accumulation,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-06-17,SP500,https://www.tradingview.com/chart/?symbol=SYF,4/4 PASS,3/6 NIM,,2026-07-01,2
RCL,312.51,-0.133,0.86,accumulation,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-05-29,SP500,https://www.tradingview.com/chart/?symbol=RCL,4/4 PASS,4/6 CAIM,,2026-07-01,2
AXP,338.0,-0.123,0.86,consolidating|accumulation,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-06-09,SP500,https://www.tradingview.com/chart/?symbol=AXP,4/4 PASS,3/6 NIM,,2026-07-01,2
FAST,45.89,-0.079,0.91,,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-05-28,SP500,https://www.tradingview.com/chart/?symbol=FAST,4/4 PASS,3/6 NIM,,2026-07-01,2
TT,483.4,-0.038,0.96,accumulation,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-06-17,SP500,https://www.tradingview.com/chart/?symbol=TT,4/4 PASS,3/6 NIM,,2026-07-01,2
