symbol,close,off_high,range_position,base_type,div_count,div_indicators,div_last,universe,tradingview_chart,canslim,canslim_real,new,first_seen,days_on_list
PATH,10.31,-0.885,0.01,,6,RSI|MACD|MFI|MVI|CMF|SQUEEZE,2026-06-08,broader,https://www.tradingview.com/chart/?symbol=PATH,0/4,3/6 AIM,,2026-07-01,2
SWKS,72.45,-0.589,0.21,accumulation,6,RSI|MACD|MFI|CMF|WILLR|SQUEEZE,2026-04-27,SP500,https://www.tradingview.com/chart/?symbol=SWKS,2/4,2/6 IM,,2026-07-01,2
A,127.06,-0.268,0.65,,6,RSI|MACD|MFI|CMF|WILLR|SQUEEZE,2026-06-15,SP500,https://www.tradingview.com/chart/?symbol=A,2/4,3/6 CIM,,2026-07-01,2
ANET,169.67,-0.056,0.94,accumulation,6,MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-04-27,SP500,https://www.tradingview.com/chart/?symbol=ANET,4/4 PASS,5/6 CNLIM,,2026-07-01,2
TTD,18.51,-0.869,0.12,,5,RSI|MACD|MFI|CMF|SQUEEZE,2026-05-11,SP500,https://www.tradingview.com/chart/?symbol=TTD,0/4,2/6 IM,,2026-07-01,2
RVTY,100.0,-0.502,0.36,accumulation,5,RSI|MACD|MVI|OBV|WILLR,2026-05-25,SP500,https://www.tradingview.com/chart/?symbol=RVTY,3/4,3/6 NIM,,2026-07-01,2
ORCL,184.29,-0.463,0.49,,5,RSI|MACD|MFI|CMF|SQUEEZE,2026-05-04,SP500,https://www.tradingview.com/chart/?symbol=ORCL,0/4,4/6 CAIM,,2026-07-01,2
EW,87.36,-0.337,0.58,consolidating|accumulation,5,RSI|MACD|MFI|WILLR|SQUEEZE,2026-06-15,SP500,https://www.tradingview.com/chart/?symbol=EW,4/4 PASS,4/6 NLIM,,2026-07-01,2
PHM,126.96,-0.139,0.84,accumulation,5,RSI|MACD|MFI|OBV|WILLR,2026-06-15,SP500,https://www.tradingview.com/chart/?symbol=PHM,4/4 PASS,4/6 NLIM,,2026-07-01,2
LLY,1098.57,-0.071,0.93,accumulation,5,RSI|MACD|MFI|OBV|WILLR,2026-05-25,SP500,https://www.tradingview.com/chart/?symbol=LLY,3/4,6/6 PASS,,2026-07-01,2
WSM,226.92,-0.032,0.97,accumulation,5,RSI|MACD|MFI|OBV|WILLR,2026-06-15,SP500,https://www.tradingview.com/chart/?symbol=WSM,4/4 PASS,4/6 NLIM,,2026-07-01,2
RIVN,14.64,-0.918,0.04,accumulation,4,MACD|MFI|WILLR|SQUEEZE,2026-06-15,broader,https://www.tradingview.com/chart/?symbol=RIVN,0/4,3/6 LIM,,2026-07-01,2
