symbol,sector,industry
A,Healthcare,Diagnostics & Research
AAL,Industrials,Airlines
AAP,Consumer Cyclical,Auto Parts
ABBV,Healthcare,Drug Manufacturers - General
ABNB,Consumer Cyclical,Travel Services
ADI,Technology,Semiconductors
ADP,Technology,Software - Application
ADSK,Technology,Software - Application
AEE,Utilities,Utilities - Regulated Electric
AEP,Utilities,Utilities - Regulated Electric
AFRM,Financial Services,Credit Services
AIXI,Technology,Software - Application
AJG,Financial Services,Insurance Brokers
ALB,Basic Materials,Specialty Chemicals
ALGN,Healthcare,Medical Instruments & Supplies
ALL,Financial Services,Insurance - Property & Casualty
ALLE,Industrials,Security & Protection Services
AMC,Communication Services,Entertainment
AMCR,Consumer Cyclical,Packaging & Containers
AMP,Financial Services,Asset Management
AMT,Real Estate,REIT - Specialty
AMZN,Consumer Cyclical,Internet Retail
ANET,Technology,Computer Hardware
AON,Financial Services,Insurance Brokers
AOS,Industrials,Specialty Industrial Machinery
APA,Energy,Oil & Gas E&P
APD,Basic Materials,Specialty Chemicals
APH,Technology,Electronic Components
APTV,Consumer Cyclical,Auto Parts
ARE,Real Estate,REIT - Office
ARES,Financial Services,Asset Management
ARQQ,Technology,Software - Infrastructure
AVGO,Technology,Semiconductors
AVS,,
AVTR,Healthcare,Medical Instruments & Supplies
AVY,Consumer Cyclical,Packaging & Containers
AWK,Utilities,Utilities - Regulated Water
AXON,Industrials,Aerospace & Defense
AXP,Financial Services,Credit Services
AZO,Consumer Cyclical,Auto Parts
BA,Industrials,Aerospace & Defense
BABA,Consumer Cyclical,Internet Retail
BAH,Industrials,Consulting Services
BALL,Consumer Cyclical,Packaging & Containers
BAX,Healthcare,Medical Instruments & Supplies
BB,Technology,Software - Infrastructure
BBAI,Technology,Information Technology Services
BBY,Consumer Cyclical,Specialty Retail
BDX,Healthcare,Medical Instruments & Supplies
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries
BIIB,Healthcare,Drug Manufacturers - General
BIO,Healthcare,Medical Devices
BKNG,Consumer Cyclical,Travel Services
BKR,Energy,Oil & Gas Equipment & Services
BLDR,Industrials,Building Products & Equipment
BLK,Financial Services,Asset Management
BLZE,Technology,Software - Infrastructure
BMRN,Healthcare,Biotechnology
BOLD,Healthcare,Biotechnology
BR,Technology,Information Technology Services
BRO,Financial Services,Insurance Brokers
BTCZ,,
BWIN,Financial Services,Insurance Brokers
BX,Financial Services,Asset Management
CAG,Consumer Defensive,Packaged Foods
CAH,Healthcare,Medical Distribution
CAR,Industrials,Rental & Leasing Services
