symbol,wdb_score,wdb,pe,pb,price_cash
A,0,0/3,26.67,5.26,20.76
ABNB,0,0/3,36.34,11.47,7.28
ACHR,1,1/3,,1.71,2.0
ADI,0,0/3,58.13,5.66,55.49
ADP,0,0/3,20.97,14.19,27.86
AEE,0,0/3,20.61,2.34,2438.09
AEP,0,0/3,20.41,2.36,145.54
AFRM,0,0/3,74.35,7.24,15.48
AIXI,1,1/3,,-0.02,0.77
ALB,0,0/3,,2.01,14.04
ALGN,0,0/3,29.15,2.99,11.72
ALL,1,1/3,5.34,2.1,11.5
ALLE,0,0/3,19.08,5.71,38.85
AMC,0,0/3,,-0.64,3.66
AMCR,0,0/3,34.35,1.7,12.5
AMP,0,0/3,11.14,6.48,4.73
AMZN,0,0/3,31.64,5.84,18.05
AON,0,0/3,17.99,7.12,56.28
AOS,0,0/3,16.45,4.53,41.7
APA,1,1/3,7.68,1.8,39.76
APD,0,0/3,28.56,3.86,63.33
APH,0,0/3,47.82,14.64,44.68
APTV,0,0/3,35.26,1.36,3.95
ARE,1,1/3,,0.6,23.13
ARES,0,0/3,49.59,9.46,16.87
ARQQ,0,0/3,,15.89,15.69
AVS,0,n/a,,,
AVTR,0,0/3,,1.21,24.52
AVY,0,0/3,18.39,5.44,41.41
AWK,0,0/3,23.49,2.34,141.41
AXP,0,0/3,21.28,6.84,4.32
AZO,0,0/3,21.69,-18.54,190.31
BA,0,0/3,84.86,28.28,8.39
BAH,1,1/3,8.99,6.76,10.2
BALL,0,0/3,18.08,2.95,22.53
BAND,0,0/3,,4.81,38.78
BAX,0,0/3,,1.88,5.64
BB,0,0/3,124.8,9.74,20.83
BBAI,0,0/3,,2.17,4.94
BDX,0,0/3,27.08,1.77,52.41
BF-B,0,0/3,18.12,3.16,41.31
BIIB,0,0/3,23.32,1.71,7.47
BIO,0,0/3,49.05,1.16,5.05
BKNG,0,0/3,24.03,-16.31,8.82
BKR,0,0/3,17.99,2.89,3.51
BLDR,0,0/3,34.55,2.43,99.03
BLK,0,0/3,23.92,2.6,11.22
BLZE,0,0/3,,10.62,19.75
BMRN,0,0/3,41.49,1.79,5.02
BOLD,2,2/3,,0.64,0.59
BRO,0,0/3,20.83,1.7,21.62
BTBT,0,0/3,,1.32,8.03
BTCZ,0,n/a,,,
BWIN,0,0/3,,2.63,17.48
BX,0,0/3,29.53,10.78,34.63
CAG,1,1/3,,0.82,121.57
CAR,0,0/3,,-1.6,10.38
CB,0,0/3,12.13,1.81,17.76
CBRE,0,0/3,31.07,4.68,23.95
CCL,0,0/3,13.15,3.09,17.82
CEG,0,0/3,22.53,2.81,108.41
CFG,1,1/3,16.69,1.25,2.26
CHTR,1,1/3,3.95,1.1,34.77
CIEN,0,0/3,158.59,23.45,56.36
CINF,0,0/3,10.64,1.83,22.87
CL,0,0/3,35.81,510.5,52.12
CLSK,0,0/3,,4.0,15.16
CLX,0,0/3,15.79,-175.25,9.85
CMCSA,2,2/3,4.75,0.98,9.14
CMG,0,0/3,30.25,17.62,48.56
CMS,0,0/3,21.53,2.6,137.69
CNC,1,1/3,,1.49,1.34
CNP,0,0/3,27.48,2.56,24.54
COF,1,1/3,62.05,1.17,1.59
COHR,0,0/3,185.41,7.17,31.58
COP,0,0/3,17.66,1.97,19.95
CPB,0,0/3,11.28,1.7,17.07
CPNG,0,0/3,,8.09,5.01
CPRT,0,0/3,17.45,2.97,6.19
CPT,0,0/3,32.61,3.01,298.57
CRH,0,0/3,20.2,3.15,22.45
CRL,0,0/3,,3.69,56.63
CRM,0,0/3,18.32,3.78,10.93
CRSP,1,1/3,,2.99,2.23
CTAS,0,0/3,35.75,14.12,369.17
CVNA,0,0/3,36.83,12.25,15.73
CZR,0,0/3,,1.78,7.0
DASH,0,0/3,87.59,7.9,14.55
DD,0,0/3,119.07,1.32,26.12
DE,0,0/3,35.46,6.17,19.16
DECK,0,0/3,14.43,5.67,7.37
DEO,0,0/3,19.21,71.81,376.47
DG,0,0/3,16.62,2.93,19.16
DHI,0,0/3,15.44,1.98,24.28
DKNG,0,0/3,286.67,21.15,12.81
DLR,0,0/3,50.55,2.94,27.18
DLTR,0,0/3,19.68,6.76,23.39
DNTH,0,0/3,,4.35,4.71
DOV,0,0/3,28.0,4.03,18.37
DOW,0,0/3,,1.32,4.65
DPZ,0,0/3,16.92,-2.52,41.99
DRI,0,0/3,19.68,10.65,107.14
DTE,0,0/3,25.33,2.6,134.63
DUK,0,0/3,19.71,1.87,46.75
DUOL,0,0/3,13.28,3.91,4.32
DVN,0,0/3,11.7,1.69,14.8
EBAY,0,0/3,25.59,11.2,12.74
ECL,0,0/3,37.75,7.84,150.84
ED,0,0/3,18.94,1.61,281.43
EFX,0,0/3,27.92,4.17,102.97
EIX,1,1/3,8.2,1.68,172.68
ELF,0,0/3,158.89,15.7,12.03
ELV,1,1/3,16.45,1.92,2.27
ELVN,0,0/3,,6.83,6.85
EME,0,0/3,27.32,9.36,39.49
EMR,0,0/3,33.14,3.94,44.66
EQIX,0,0/3,75.2,7.49,78.58
ERIE,0,0/3,21.77,5.28,43.88
ES,0,0/3,15.8,1.68,102.74
ESTC,0,0/3,16.6,4.67,4.32
ETR,0,0/3,29.68,3.07,14.91
ETSY,0,0/3,30.52,-6.65,5.3
EXC,0,0/3,17.27,1.65,67.65
EXE,1,1/3,6.51,1.08,9.43
EXPD,0,0/3,26.17,9.36,16.09
EXPE,0,0/3,23.41,55.27,5.5
EXR,0,0/3,33.32,2.35,220.95
FAST,0,0/3,41.95,13.64,176.21
FCEL,0,0/3,,2.63,5.4
FCUV,2,2/3,,0.54,0.31
FDX,0,0/3,17.36,2.48,5.89
FE,0,0/3,26.12,2.2,534.0
